id,n_trials,omega_0,rho_0,alpha_minus,alpha_plus,beta,loss_aversion,mean_pumps,explosion_rate,Openness,Conscientiousness,Extraversion,Agreeableness,Neuroticism
1,60,127.99988746167098,1.999999940474806,0.001001045905259429,0.21015308746641131,1.9999993845025597,0.004763412792683456,31.033333333333335,1.0,5.333333333333333,5.333333333333333,4.0,4.666666666666667,6.333333333333333
2,40,127.8971177197581,1.998900588653545,0.0011295980952975293,0.30155129263581926,1.9998213940116463,0.0037459567340065577,23.225,1.0,5.666666666666667,7.0,6.0,7.0,3.0
3,40,127.9481511425499,1.9932712996177526,0.0010243523557199874,0.14064618692769024,1.9987954786555686,0.007283186114719433,20.25,1.0,4.666666666666667,5.0,4.0,5.666666666666667,5.333333333333333
4,40,127.9999086670479,1.9999998740010545,0.0010000170495577665,0.26754772736574395,1.9999961331453973,0.0037377146104131172,28.5,1.0,6.666666666666667,7.0,4.666666666666667,6.666666666666667,2.3333333333333335
5,40,127.04496525086468,1.9960709639287069,0.0010441916467561485,0.22752426779368545,1.9986921963300732,0.004589363837456675,13.375,1.0,5.333333333333333,6.333333333333333,4.0,3.0,1.0
6,40,127.96936759546105,1.9997945624002607,0.0012025495788015872,0.1805712316890309,1.9989457131485482,0.006659696384375043,24.125,1.0,3.6666666666666665,5.666666666666667,3.0,6.666666666666667,5.0
7,40,127.98260499271264,1.9999147679502316,0.002318885975039958,0.25987716185117926,1.99999624211387,0.008923007926213566,28.7,1.0,4.666666666666667,6.666666666666667,6.0,5.333333333333333,3.6666666666666665
8,40,127.99993485158375,1.9999998687253817,0.0010000619804021171,0.02873554732096581,1.999993990908386,0.03480225969708465,31.575,1.0,4.333333333333333,4.333333333333333,6.666666666666667,5.0,3.6666666666666665
9,40,127.98500462334229,1.9994627065863866,0.0010256495493083662,0.2921780683235867,1.9999231973298184,0.003510357759544296,12.85,1.0,6.666666666666667,5.333333333333333,5.333333333333333,5.0,2.3333333333333335
10,40,127.99996338904836,1.9999978657678423,0.0010000261172565805,0.24793179468864696,1.9999963553751272,0.0040334726674019945,29.525,1.0,3.3333333333333335,6.333333333333333,3.6666666666666665,6.666666666666667,3.0
11,40,127.99984140192385,1.9999992778724183,0.001000006013516741,0.19721335419081895,1.9999982436777044,0.005070681027762243,23.75,1.0,6.0,6.0,5.666666666666667,6.0,2.3333333333333335
12,40,127.82799552907113,1.9907104887875717,0.0011934709366478446,0.10549956051086382,1.995972809139606,0.011312567852118654,9.95,1.0,6.0,4.666666666666667,4.0,3.3333333333333335,3.0
13,40,127.9272797890819,1.9979204938775528,0.0010751482150185843,0.12973884822134069,1.999937449978039,0.008287018343066603,10.275,1.0,7.0,6.333333333333333,6.666666666666667,5.333333333333333,4.333333333333333
14,40,127.99997732946726,1.9999989181250655,0.0010000086918367235,0.25596464524335283,1.999995755788829,0.003906823502464518,29.7,1.0,6.0,5.333333333333333,6.333333333333333,5.0,3.3333333333333335
15,40,127.96211162735801,1.9950167437338755,0.0010737502451563519,0.26090526381302936,1.9995566469272181,0.00411547942522856,22.6,1.0,4.666666666666667,4.666666666666667,5.333333333333333,4.333333333333333,3.0
16,40,127.99983359085479,1.999998651909777,0.0010002281667454704,0.23108612463959427,1.9999979659936193,0.00432837829750896,37.975,1.0,6.666666666666667,5.333333333333333,6.0,5.333333333333333,2.6666666666666665
17,40,127.99965081408573,1.9999983454076475,0.0010055415245155963,0.4867800887868009,1.9999886724910487,0.0020656997845201544,35.625,1.0,6.666666666666667,4.0,6.0,7.0,7.0
18,40,127.99993596407096,1.9999991579957745,0.0010000886376370088,0.42287969485453236,1.9999987666567307,0.0023649483524647175,25.6,1.0,5.0,4.333333333333333,3.0,6.333333333333333,5.666666666666667
19,40,127.99997197753248,1.999996552377755,0.0010000030638100121,0.18336716386924123,1.9999988060766936,0.00545355582051273,30.575,1.0,3.3333333333333335,5.333333333333333,2.3333333333333335,5.333333333333333,1.6666666666666667
20,40,127.99996225547255,1.9999999102675818,0.0010003101757676824,0.04908293554566587,1.9999996552981156,0.020379998968012257,22.35,1.0,6.666666666666667,7.0,2.3333333333333335,6.0,7.0
21,40,127.79254630455179,1.9964228336035994,0.0010619196721182167,0.08121429884450718,1.9946834019328628,0.013075525950810301,7.025,1.0,5.0,6.0,6.333333333333333,5.333333333333333,2.6666666666666665
22,40,127.99982202140316,1.9999942726699258,0.0010000874070835164,0.07722779971912941,1.999998608547102,0.01294983685564971,29.05,1.0,6.666666666666667,4.0,3.0,5.0,4.0
23,40,127.99911279423549,1.999954047810415,0.0026240372979320914,0.4485221968415585,1.9999938773352743,0.0058504067723075,20.775,1.0,6.333333333333333,5.666666666666667,5.666666666666667,5.0,4.666666666666667
24,40,127.71426613235157,1.9967136100998895,0.0010540528776990798,0.0485875901147792,1.988116612061782,0.021693870290933854,9.5,1.0,4.333333333333333,6.333333333333333,3.0,6.0,3.6666666666666665
25,40,127.99990850762825,1.9999988140075393,0.001000075003336598,0.15886281745694006,1.9999997849563882,0.00629521129831195,29.325,1.0,4.0,5.0,4.333333333333333,5.0,1.6666666666666667
26,40,127.897339106081,1.9994639218574823,0.0010066502214750028,0.25201456605181394,1.9977465608134621,0.00399441285178745,28.0,1.0,6.666666666666667,5.666666666666667,6.0,4.333333333333333,6.0
27,40,127.98283981625522,1.9998861481933863,0.0010231670061509879,0.25830500452995164,1.9995983712056793,0.003961080847089616,23.875,1.0,3.6666666666666665,4.666666666666667,4.333333333333333,5.666666666666667,3.3333333333333335
28,40,127.99998765908956,1.9999989436134178,0.0010000561670171493,0.4519651170472021,1.9999980218833988,0.0022126844070417626,30.225,1.0,4.0,5.666666666666667,3.0,4.666666666666667,4.666666666666667
29,40,127.99991401245742,1.999995059550582,0.0010000620003606242,0.26681048313438094,1.9999955601186512,0.0037482110470784466,28.425,1.0,5.666666666666667,2.3333333333333335,6.0,6.333333333333333,3.3333333333333335
30,40,127.97914240013625,1.9971195843378216,0.0016018167614925138,0.3411674815244291,1.9991191870567624,0.004695103866098729,11.675,1.0,5.0,4.666666666666667,2.6666666666666665,5.0,3.3333333333333335
